Day,Branch,Section,Batch,Time,Activity,Room,Subject/Notes
WED,ISE,D,D1 & D2,11:20-12:20,Theory/Project,D-Classroom,ISE_SOFTWARE_ENGINEERING_1
WED,ISE,D,D1 & D2,14:00-15:00,Theory/Project,D-Classroom,ISE_ARTIFICIAL_INTELLIGE_5
WED,ISE,D,D1,15:00-16:00,Lab,ISE_Lab2,ISE_FILE_STRUCTURES_LABO_7
WED,ISE,D,D2,15:00-16:00,Lab,ISE_Lab1,ISE_DATA_VISUALIZATION_L_6
FRI,ISE,E,E1 & E2,09:00-10:00,Theory/Project,E-Classroom,ISE_FILE_STRUCTURES_3
FRI,ISE,E,E1 & E2,12:20-13:20,Theory/Project,E-Classroom,ISE_OPERATING_SYSTEMS_4
FRI,ISE,E,E1 & E2,15:00-16:00,Theory/Project,E-Classroom,ISE_ARTIFICIAL_INTELLIGE_5
MON,ISE,E,E1 & E2,10:00-11:00,Theory/Project,E-Classroom,ISE_SOFTWARE_ENGINEERING_1
MON,ISE,E,E1 & E2,12:20-13:20,Theory/Project,E-Classroom,ISE_OPERATING_SYSTEMS_4
MON,ISE,E,E1 & E2,14:00-15:00,Theory/Project,E-Classroom,ISE_COMPUTER_NETWORKS_2
MON,ISE,E,E1 & E2,15:00-16:00,Theory/Project,E-Classroom,ISE_FILE_STRUCTURES_3
THU,ISE,E,E1 & E2,10:00-11:00,Theory/Project,E-Classroom,ISE_COMPUTER_NETWORKS_2
THU,ISE,E,E1 & E2,11:20-12:20,Theory/Project,E-Classroom,ISE_SOFTWARE_ENGINEERING_1
THU,ISE,E,E1,14:00-15:00,Lab,ISE_Lab2,ISE_FILE_STRUCTURES_LABO_7
THU,ISE,E,E2,14:00-15:00,Lab,ISE_Lab1,ISE_DATA_VISUALIZATION_L_6
THU,ISE,E,E1 & E2,16:00-17:00,Theory/Project,E-Classroom,ISE_ARTIFICIAL_INTELLIGE_5
TUE,ISE,E,E1,09:00-10:00,Lab,ISE_Lab1,ISE_DATA_VISUALIZATION_L_6
TUE,ISE,E,E2,09:00-10:00,Lab,ISE_Lab2,ISE_FILE_STRUCTURES_LABO_7
TUE,ISE,E,E1 & E2,11:20-12:20,Theory/Project,E-Classroom,ISE_OPERATING_SYSTEMS_4
TUE,ISE,E,E1 & E2,12:20-13:20,Theory/Project,E-Classroom,ISE_SOFTWARE_ENGINEERING_1
TUE,ISE,E,E1 & E2,15:00-16:00,Theory/Project,E-Classroom,ISE_COMPUTER_NETWORKS_2
TUE,ISE,E,E1 & E2,16:00-17:00,Theory/Project,E-Classroom,ISE_FILE_STRUCTURES_3
WED,ISE,E,E1 & E2,09:00-10:00,Theory/Project,E-Classroom,ISE_SOFTWARE_ENGINEERING_1
WED,ISE,E,E1 & E2,10:00-11:00,Theory/Project,E-Classroom,ISE_COMPUTER_NETWORKS_2
WED,ISE,E,E1 & E2,16:00-17:00,Theory/Project,E-Classroom,ISE_ARTIFICIAL_INTELLIGE_5
